bank_name|number_of_reviews|average_rating
Тинькофф Банк|44864|4.783568116975749
Хоум Кредит Банк|9310|4.505585392051557
Совкомбанк|6111|4.264768450335461
ВТБ|3817|1.9502226879748494
СберБанк|3490|2.303724928366762
Альфа-Банк|3369|1.7141585040071239
Россельхозбанк|3064|4.455939947780679
Банк Открытие|1894|3.543294614572334
МТС Банк|1542|2.901426718547341
Модульбанк|1460|4.78013698630137
Газпромбанк|1314|2.145357686453577
Московский Кредитный Банк|1251|4.2414068745004
Азиатско-Тихоокеанский Банк|1001|4.718281718281719
Уральский Банк Реконструкции и Развития|748|3.2981283422459895
Русский Стандарт|689|4.1582002902757615
